AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
4.77E-06,,,0,,,4.22E-07,,,0.003316295,,,2.16E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003348203,,,2.18E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003329631,,,2.15E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003340737,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003324365,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.38E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003292662,,,2.18E-06,,,7.77E-06,,,6.13E-13,,,8.38E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003330948,,,2.15E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003315431,,,2.26E-06,,,7.77E-06,,,6.12E-13,,,8.27E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003363878,,,2.19E-06,,,7.77E-06,,,6.15E-13,,,8.23E-06,
5.01E-06,,,0,,,4.13E-07,,,0.003324071,,,2.26E-06,,,7.77E-06,,,6.13E-13,,,8.31E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003322481,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.30E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003336909,,,2.21E-06,,,7.77E-06,,,6.13E-13,,,8.49E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003337811,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003338752,,,2.20E-06,,,7.77E-06,,,6.15E-13,,,8.04E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003332342,,,2.25E-06,,,7.77E-06,,,6.11E-13,,,8.24E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003341394,,,2.21E-06,,,7.77E-06,,,6.13E-13,,,8.10E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003329394,,,2.27E-06,,,7.77E-06,,,6.12E-13,,,8.13E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003337611,,,2.23E-06,,,7.77E-06,,,6.14E-13,,,8.28E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003329319,,,2.23E-06,,,7.77E-06,,,6.14E-13,,,8.28E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003340349,,,2.11E-06,,,7.77E-06,,,6.12E-13,,,8.25E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003337982,,,2.29E-06,,,7.77E-06,,,6.11E-13,,,8.18E-06,
5.01E-06,,,0,,,4.22E-07,,,0.003303086,,,2.22E-06,,,7.77E-06,,,6.15E-13,,,8.41E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003323488,,,2.08E-06,,,7.77E-06,,,6.15E-13,,,8.24E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003322551,,,2.09E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003321175,,,2.30E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003317887,,,2.17E-06,,,7.77E-06,,,6.14E-13,,,8.26E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003342263,,,2.22E-06,,,7.77E-06,,,6.16E-13,,,8.13E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003349761,,,2.21E-06,,,7.77E-06,,,6.11E-13,,,8.34E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003337241,,,2.15E-06,,,7.77E-06,,,6.09E-13,,,8.28E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003328539,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.23E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003356567,,,2.17E-06,,,7.77E-06,,,6.17E-13,,,8.18E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003343529,,,2.18E-06,,,7.77E-06,,,6.11E-13,,,8.27E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003295793,,,2.18E-06,,,7.77E-06,,,6.12E-13,,,8.28E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003345807,,,2.20E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003331155,,,2.25E-06,,,7.77E-06,,,6.16E-13,,,8.33E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003356741,,,2.15E-06,,,7.77E-06,,,6.13E-13,,,8.28E-06,
5.01E-06,,,0,,,4.25E-07,,,0.00331185,,,2.18E-06,,,7.77E-06,,,6.14E-13,,,8.39E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003324498,,,2.21E-06,,,7.77E-06,,,6.11E-13,,,8.12E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003344892,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.29E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003340016,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.14E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003341241,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003362831,,,2.16E-06,,,7.77E-06,,,6.15E-13,,,8.22E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003353447,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.17E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003340138,,,2.05E-06,,,7.77E-06,,,6.15E-13,,,8.27E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003339232,,,2.21E-06,,,7.77E-06,,,6.13E-13,,,8.43E-06,
4.77E-06,,,0,,,4.19E-07,,,0.00335316,,,2.20E-06,,,7.77E-06,,,6.14E-13,,,8.14E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003340496,,,2.11E-06,,,7.77E-06,,,6.13E-13,,,8.44E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003351911,,,2.14E-06,,,7.77E-06,,,6.14E-13,,,8.16E-06,
4.77E-06,,,0,,,4.09E-07,,,0.003381582,,,2.21E-06,,,7.77E-06,,,6.12E-13,,,8.21E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003356441,,,2.19E-06,,,7.77E-06,,,6.15E-13,,,8.24E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003321091,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.25E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003342589,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.21E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003357638,,,2.23E-06,,,7.77E-06,,,6.15E-13,,,8.23E-06,
5.01E-06,,,0,,,4.15E-07,,,0.003334927,,,2.26E-06,,,7.77E-06,,,6.14E-13,,,8.21E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003325983,,,2.17E-06,,,7.77E-06,,,6.14E-13,,,8.35E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003331511,,,2.38E-06,,,7.77E-06,,,6.12E-13,,,8.25E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003341701,,,2.18E-06,,,7.77E-06,,,6.12E-13,,,8.15E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003350862,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.15E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003324535,,,2.15E-06,,,7.77E-06,,,6.11E-13,,,8.29E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003338351,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.28E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003320551,,,2.29E-06,,,7.77E-06,,,6.16E-13,,,8.20E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003340716,,,2.31E-06,,,7.77E-06,,,6.14E-13,,,8.25E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003313526,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.26E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003336962,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003347683,,,2.26E-06,,,7.77E-06,,,6.11E-13,,,8.16E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003362182,,,2.21E-06,,,7.77E-06,,,6.16E-13,,,8.28E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003353326,,,2.16E-06,,,7.77E-06,,,6.17E-13,,,8.43E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003347905,,,2.12E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003324023,,,2.23E-06,,,7.77E-06,,,6.14E-13,,,8.06E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003368794,,,2.21E-06,,,7.77E-06,,,6.12E-13,,,8.21E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003325748,,,2.28E-06,,,7.77E-06,,,6.15E-13,,,8.24E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003308112,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.16E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003344932,,,2.07E-06,,,7.77E-06,,,6.15E-13,,,8.27E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003333284,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.15E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003324814,,,2.20E-06,,,7.77E-06,,,6.16E-13,,,8.21E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003319465,,,2.15E-06,,,7.77E-06,,,6.14E-13,,,8.26E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003311798,,,2.15E-06,,,7.77E-06,,,6.11E-13,,,8.37E-06,
4.77E-06,,,0,,,4.30E-07,,,0.003317887,,,2.25E-06,,,7.77E-06,,,6.12E-13,,,8.21E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003358273,,,2.35E-06,,,7.77E-06,,,6.13E-13,,,8.20E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003330229,,,2.30E-06,,,7.77E-06,,,6.14E-13,,,8.22E-06,
