AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
4.77E-06,,,0,,,4.17E-07,,,0.003342577,,,2.07E-06,,,7.77E-06,,,6.11E-13,,,8.20E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003331164,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.11E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003347314,,,2.34E-06,,,7.77E-06,,,6.12E-13,,,8.31E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003372626,,,2.06E-06,,,7.77E-06,,,6.15E-13,,,8.35E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003341505,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.18E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003329257,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003338787,,,2.18E-06,,,7.77E-06,,,6.11E-13,,,8.35E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003341393,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.08E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003344964,,,2.31E-06,,,7.77E-06,,,6.13E-13,,,8.17E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003342835,,,2.22E-06,,,7.77E-06,,,6.12E-13,,,8.31E-06,
4.77E-06,,,0,,,4.28E-07,,,0.003340573,,,2.11E-06,,,7.77E-06,,,6.14E-13,,,8.31E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003344629,,,2.24E-06,,,7.77E-06,,,6.15E-13,,,8.11E-06,
5.01E-06,,,0,,,4.22E-07,,,0.003324646,,,2.29E-06,,,7.77E-06,,,6.11E-13,,,8.38E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003345206,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.34E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003333663,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.19E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003334242,,,2.25E-06,,,7.77E-06,,,6.11E-13,,,8.24E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003339023,,,2.21E-06,,,7.77E-06,,,6.11E-13,,,8.42E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003342592,,,2.19E-06,,,7.77E-06,,,6.16E-13,,,8.28E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003313276,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.26E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003324612,,,2.22E-06,,,7.77E-06,,,6.12E-13,,,8.27E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003320421,,,2.16E-06,,,7.77E-06,,,6.13E-13,,,8.38E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003388364,,,2.27E-06,,,7.77E-06,,,6.14E-13,,,8.33E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003354124,,,2.13E-06,,,7.77E-06,,,6.13E-13,,,8.15E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003372684,,,2.15E-06,,,7.77E-06,,,6.12E-13,,,8.26E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003333381,,,2.06E-06,,,7.77E-06,,,6.14E-13,,,8.13E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003326205,,,2.28E-06,,,7.77E-06,,,6.10E-13,,,8.28E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003323317,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.22E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003332979,,,2.25E-06,,,7.77E-06,,,6.16E-13,,,8.38E-06,
4.77E-06,,,0,,,4.11E-07,,,0.003348721,,,2.31E-06,,,7.77E-06,,,6.13E-13,,,8.41E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003332797,,,2.26E-06,,,7.77E-06,,,6.16E-13,,,8.22E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003347796,,,2.24E-06,,,7.77E-06,,,6.14E-13,,,8.39E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003355614,,,2.12E-06,,,7.77E-06,,,6.12E-13,,,8.30E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003354892,,,2.11E-06,,,7.77E-06,,,6.16E-13,,,8.27E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003341434,,,2.22E-06,,,7.77E-06,,,6.15E-13,,,8.17E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003344757,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.34E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003320745,,,2.13E-06,,,7.77E-06,,,6.15E-13,,,8.15E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003344171,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.16E-07,,,0.00333561,,,2.17E-06,,,7.77E-06,,,6.12E-13,,,8.35E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003321486,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.25E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003360066,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.13E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003346125,,,2.15E-06,,,7.77E-06,,,6.11E-13,,,8.18E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003354422,,,2.21E-06,,,7.77E-06,,,6.10E-13,,,8.17E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003341872,,,2.14E-06,,,7.77E-06,,,6.14E-13,,,8.37E-06,
5.01E-06,,,0,,,4.21E-07,,,0.003337735,,,2.16E-06,,,7.77E-06,,,6.12E-13,,,8.18E-06,
4.77E-06,,,0,,,4.19E-07,,,0.00330978,,,2.27E-06,,,7.77E-06,,,6.14E-13,,,8.17E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003328763,,,2.18E-06,,,7.77E-06,,,6.10E-13,,,8.37E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003343314,,,2.07E-06,,,7.77E-06,,,6.12E-13,,,8.30E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003327952,,,2.24E-06,,,7.77E-06,,,6.11E-13,,,8.21E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003353353,,,2.26E-06,,,7.77E-06,,,6.12E-13,,,8.29E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003334257,,,2.22E-06,,,7.77E-06,,,6.14E-13,,,8.19E-06,
4.77E-06,,,0,,,4.29E-07,,,0.0033238,,,2.26E-06,,,7.77E-06,,,6.13E-13,,,8.26E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003337866,,,2.24E-06,,,7.77E-06,,,6.16E-13,,,8.34E-06,
4.77E-06,,,0,,,4.16E-07,,,0.00337313,,,2.29E-06,,,7.77E-06,,,6.12E-13,,,8.29E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003335965,,,2.16E-06,,,7.77E-06,,,6.12E-13,,,8.40E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003341281,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.14E-06,
4.77E-06,,,0,,,4.22E-07,,,0.00333725,,,2.23E-06,,,7.77E-06,,,6.12E-13,,,8.32E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003323491,,,2.17E-06,,,7.77E-06,,,6.13E-13,,,8.19E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003324063,,,2.14E-06,,,7.77E-06,,,6.10E-13,,,8.13E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003338276,,,2.17E-06,,,7.77E-06,,,6.09E-13,,,8.22E-06,
4.77E-06,,,0,,,4.18E-07,,,0.00334915,,,2.20E-06,,,7.77E-06,,,6.11E-13,,,8.17E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003360287,,,2.19E-06,,,7.77E-06,,,6.14E-13,,,8.37E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003337779,,,2.24E-06,,,7.77E-06,,,6.16E-13,,,8.32E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003366936,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.31E-06,
4.77E-06,,,0,,,4.11E-07,,,0.003349978,,,2.19E-06,,,7.77E-06,,,6.14E-13,,,8.40E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003353148,,,2.13E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003323518,,,2.20E-06,,,7.77E-06,,,6.20E-13,,,8.29E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003338115,,,2.20E-06,,,7.77E-06,,,6.11E-13,,,8.30E-06,
5.01E-06,,,0,,,4.21E-07,,,0.003387197,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.26E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003360903,,,2.13E-06,,,7.77E-06,,,6.11E-13,,,8.27E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003320083,,,2.31E-06,,,7.77E-06,,,6.14E-13,,,8.25E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003337859,,,2.19E-06,,,7.77E-06,,,6.14E-13,,,8.18E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003328166,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.21E-06,
5.01E-06,,,0,,,4.20E-07,,,0.003351906,,,2.29E-06,,,7.77E-06,,,6.14E-13,,,8.26E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003334259,,,2.15E-06,,,7.77E-06,,,6.11E-13,,,8.27E-06,
4.77E-06,,,0,,,4.20E-07,,,0.00332828,,,2.26E-06,,,7.77E-06,,,6.16E-13,,,8.27E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003314195,,,2.19E-06,,,7.77E-06,,,6.17E-13,,,8.35E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003352827,,,2.14E-06,,,7.77E-06,,,6.12E-13,,,8.29E-06,
5.01E-06,,,0,,,4.24E-07,,,0.003341533,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.19E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003324197,,,2.16E-06,,,7.77E-06,,,6.12E-13,,,8.16E-06,
4.77E-06,,,0,,,4.28E-07,,,0.003309877,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.05E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003353871,,,2.18E-06,,,7.77E-06,,,6.09E-13,,,8.37E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003319394,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.28E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003309647,,,2.30E-06,,,7.77E-06,,,6.14E-13,,,8.20E-06,
5.01E-06,,,0,,,4.24E-07,,,0.003358638,,,2.29E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003381596,,,2.12E-06,,,7.77E-06,,,6.13E-13,,,8.15E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003325906,,,2.15E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003342161,,,2.20E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003344283,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.16E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003337229,,,2.13E-06,,,7.77E-06,,,6.10E-13,,,8.49E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003314297,,,2.22E-06,,,7.77E-06,,,6.15E-13,,,8.25E-06,
5.01E-06,,,0,,,4.20E-07,,,0.00331656,,,2.24E-06,,,7.77E-06,,,6.14E-13,,,8.15E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003364873,,,2.17E-06,,,7.77E-06,,,6.12E-13,,,8.24E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003358041,,,2.32E-06,,,7.77E-06,,,6.10E-13,,,8.23E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003321491,,,2.17E-06,,,7.77E-06,,,6.11E-13,,,8.14E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003309322,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.27E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003324426,,,2.12E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.25E-07,,,0.00330408,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.19E-06,
5.01E-06,,,0,,,4.19E-07,,,0.003353983,,,2.21E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003384824,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003348007,,,2.17E-06,,,7.77E-06,,,6.10E-13,,,8.25E-06,
5.01E-06,,,0,,,4.14E-07,,,0.003340855,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.16E-06,
4.77E-06,,,0,,,4.17E-07,,,0.00334485,,,2.09E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003326365,,,2.16E-06,,,7.77E-06,,,6.15E-13,,,8.19E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003338262,,,2.30E-06,,,7.77E-06,,,6.15E-13,,,8.33E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003343493,,,2.14E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003359299,,,2.11E-06,,,7.77E-06,,,6.12E-13,,,8.38E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003321374,,,2.13E-06,,,7.77E-06,,,6.11E-13,,,8.53E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003337502,,,2.31E-06,,,7.77E-06,,,6.15E-13,,,8.29E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003356698,,,2.13E-06,,,7.77E-06,,,6.12E-13,,,8.27E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003365452,,,2.30E-06,,,7.77E-06,,,6.13E-13,,,8.31E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003337561,,,2.31E-06,,,7.77E-06,,,6.10E-13,,,8.07E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003324722,,,2.28E-06,,,7.77E-06,,,6.13E-13,,,8.25E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003357205,,,2.31E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003349165,,,2.19E-06,,,7.77E-06,,,6.16E-13,,,8.25E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003359259,,,2.14E-06,,,7.77E-06,,,6.14E-13,,,8.28E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003369556,,,2.27E-06,,,7.77E-06,,,6.15E-13,,,8.26E-06,
4.77E-06,,,0,,,4.18E-07,,,0.00336699,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.31E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003318411,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.34E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003347575,,,2.21E-06,,,7.77E-06,,,6.12E-13,,,8.29E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003315225,,,2.23E-06,,,7.77E-06,,,6.12E-13,,,8.10E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003346713,,,2.22E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003310605,,,2.24E-06,,,7.77E-06,,,6.14E-13,,,8.13E-06,
5.01E-06,,,0,,,4.21E-07,,,0.003341834,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003342304,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.18E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003343239,,,2.12E-06,,,7.77E-06,,,6.11E-13,,,8.41E-06,
5.13E-06,,,0,,,4.28E-07,,,0.003311138,,,2.22E-06,,,7.77E-06,,,6.14E-13,,,8.33E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003330223,,,2.19E-06,,,7.77E-06,,,6.12E-13,,,8.24E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003338822,,,2.24E-06,,,7.77E-06,,,6.11E-13,,,8.08E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003341244,,,2.32E-06,,,7.77E-06,,,6.10E-13,,,8.23E-06,
5.01E-06,,,0,,,4.28E-07,,,0.003352304,,,2.29E-06,,,7.77E-06,,,6.10E-13,,,8.37E-06,
5.01E-06,,,0,,,4.18E-07,,,0.003358866,,,2.07E-06,,,7.77E-06,,,6.13E-13,,,8.35E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003357396,,,2.14E-06,,,7.77E-06,,,6.13E-13,,,8.25E-06,
5.13E-06,,,0,,,4.25E-07,,,0.003349972,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.25E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003315926,,,2.16E-06,,,7.77E-06,,,6.14E-13,,,8.33E-06,
4.77E-06,,,0,,,4.12E-07,,,0.003360684,,,2.31E-06,,,7.77E-06,,,6.12E-13,,,8.17E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003343045,,,2.17E-06,,,7.77E-06,,,6.11E-13,,,8.29E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003348362,,,2.20E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003352222,,,2.28E-06,,,7.77E-06,,,6.13E-13,,,8.27E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003334701,,,2.18E-06,,,7.77E-06,,,6.14E-13,,,8.23E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003361335,,,2.18E-06,,,7.77E-06,,,6.09E-13,,,8.21E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003324354,,,2.21E-06,,,7.77E-06,,,6.11E-13,,,8.19E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003308739,,,2.22E-06,,,7.77E-06,,,6.14E-13,,,8.29E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003345209,,,2.23E-06,,,7.77E-06,,,6.12E-13,,,8.28E-06,
4.77E-06,,,0,,,4.22E-07,,,0.00335306,,,2.22E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003345636,,,2.17E-06,,,7.77E-06,,,6.12E-13,,,8.31E-06,
4.77E-06,,,0,,,4.28E-07,,,0.00335935,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003330672,,,2.16E-06,,,7.77E-06,,,6.15E-13,,,8.20E-06,
5.01E-06,,,0,,,4.23E-07,,,0.003315569,,,2.29E-06,,,7.77E-06,,,6.15E-13,,,8.26E-06,
4.77E-06,,,0,,,4.28E-07,,,0.00337278,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.21E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003348351,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.22E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003328715,,,2.31E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003346394,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.24E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003335213,,,2.20E-06,,,7.77E-06,,,6.15E-13,,,8.27E-06,
5.01E-06,,,0,,,4.24E-07,,,0.003339153,,,2.28E-06,,,7.77E-06,,,6.11E-13,,,8.25E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003357912,,,2.17E-06,,,7.77E-06,,,6.16E-13,,,8.17E-06,
4.77E-06,,,0,,,4.15E-07,,,0.00331035,,,2.23E-06,,,7.77E-06,,,6.13E-13,,,8.33E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003321258,,,2.26E-06,,,7.77E-06,,,6.15E-13,,,8.29E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003351591,,,2.17E-06,,,7.77E-06,,,6.16E-13,,,8.18E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003325087,,,2.18E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003343376,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.20E-06,
5.01E-06,,,0,,,4.15E-07,,,0.00335793,,,2.27E-06,,,7.77E-06,,,6.16E-13,,,8.16E-06,
4.77E-06,,,0,,,4.15E-07,,,0.00335804,,,2.17E-06,,,7.77E-06,,,6.16E-13,,,8.16E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003377539,,,2.05E-06,,,7.77E-06,,,6.11E-13,,,8.47E-06,
4.77E-06,,,0,,,4.30E-07,,,0.003317472,,,2.03E-06,,,7.77E-06,,,6.14E-13,,,8.29E-06,
4.77E-06,,,0,,,4.21E-07,,,0.003343772,,,2.17E-06,,,7.77E-06,,,6.14E-13,,,8.30E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003341211,,,2.30E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003362064,,,2.32E-06,,,7.77E-06,,,6.13E-13,,,8.28E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003348173,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.31E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003362047,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.24E-06,
4.77E-06,,,0,,,4.11E-07,,,0.003338914,,,2.17E-06,,,7.77E-06,,,6.13E-13,,,8.35E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003366186,,,2.22E-06,,,7.77E-06,,,6.15E-13,,,8.16E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003336798,,,2.25E-06,,,7.77E-06,,,6.15E-13,,,8.23E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003320871,,,2.27E-06,,,7.77E-06,,,6.16E-13,,,8.23E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003319793,,,2.12E-06,,,7.77E-06,,,6.13E-13,,,8.30E-06,
4.77E-06,,,0,,,4.30E-07,,,0.003330591,,,2.27E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
4.77E-06,,,0,,,4.10E-07,,,0.003343627,,,2.25E-06,,,7.77E-06,,,6.12E-13,,,8.35E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003339881,,,2.24E-06,,,7.77E-06,,,6.15E-13,,,8.19E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003331753,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.31E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003333499,,,2.31E-06,,,7.77E-06,,,6.11E-13,,,8.24E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003343996,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.19E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003305599,,,2.22E-06,,,7.77E-06,,,6.15E-13,,,8.29E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003329843,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.25E-06,
5.01E-06,,,0,,,4.18E-07,,,0.003354868,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.41E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003358304,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.30E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003336503,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.29E-06,
5.01E-06,,,0,,,4.23E-07,,,0.003343563,,,2.16E-06,,,7.77E-06,,,6.13E-13,,,8.16E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003303854,,,2.25E-06,,,7.77E-06,,,6.15E-13,,,8.22E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003339347,,,2.29E-06,,,7.77E-06,,,6.15E-13,,,8.29E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003376799,,,2.47E-06,,,7.77E-06,,,6.14E-13,,,8.17E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003342683,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.23E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003353447,,,2.17E-06,,,7.77E-06,,,6.16E-13,,,8.36E-06,
4.77E-06,,,0,,,4.05E-07,,,0.00337077,,,2.19E-06,,,7.77E-06,,,6.12E-13,,,8.21E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003329731,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.15E-07,,,0.00335058,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.31E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003380956,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.42E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003360111,,,2.21E-06,,,7.77E-06,,,6.14E-13,,,8.24E-06,
4.77E-06,,,0,,,4.23E-07,,,0.00334783,,,2.19E-06,,,7.77E-06,,,6.14E-13,,,8.14E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003308823,,,2.21E-06,,,7.77E-06,,,6.15E-13,,,8.30E-06,
4.77E-06,,,0,,,4.28E-07,,,0.003336683,,,2.23E-06,,,7.77E-06,,,6.17E-13,,,8.20E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003335818,,,2.26E-06,,,7.77E-06,,,6.14E-13,,,8.20E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003359815,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.28E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003315152,,,2.25E-06,,,7.77E-06,,,6.13E-13,,,8.23E-06,
5.01E-06,,,0,,,4.18E-07,,,0.003351397,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
5.01E-06,,,0,,,4.20E-07,,,0.003325524,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.33E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003359449,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.31E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003357927,,,2.25E-06,,,7.77E-06,,,6.14E-13,,,8.21E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003348403,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.19E-06,
4.77E-06,,,0,,,4.28E-07,,,0.003309507,,,2.19E-06,,,7.77E-06,,,6.13E-13,,,8.29E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003365639,,,2.18E-06,,,7.77E-06,,,6.15E-13,,,8.22E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003341057,,,2.31E-06,,,7.77E-06,,,6.12E-13,,,8.16E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003338632,,,2.27E-06,,,7.77E-06,,,6.16E-13,,,8.38E-06,
